epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,182.77,1.10769,1.04648,1.19813,0.85303,0.90658,0.90863,0.64081,0.97473,0.93492,1.17547,0.001307,0.001307,0.001307
44,186.57,1.08235,1.08435,1.19764,0.85303,0.90658,0.90863,0.64081,0.97473,0.93492,1.17547,0.0012905,0.0012905,0.0012905
45,190.419,1.10087,1.02094,1.16747,0.85303,0.90658,0.90863,0.64081,0.97473,0.93492,1.17547,0.001274,0.001274,0.001274
46,195.05,1.05681,1.01874,1.19599,0.83069,0.90286,0.90697,0.63807,0.97911,0.97671,1.16492,0.0012575,0.0012575,0.0012575
47,199.215,1.05535,1.05043,1.16906,0.83069,0.90286,0.90697,0.63807,0.97911,0.97671,1.16492,0.001241,0.001241,0.001241
48,203.327,1.11151,1.02154,1.1681,0.83069,0.90286,0.90697,0.63807,0.97911,0.97671,1.16492,0.0012245,0.0012245,0.0012245
49,207.501,1.10094,1.04282,1.18943,0.81466,0.88869,0.89673,0.6456,0.9331,0.95894,1.13124,0.001208,0.001208,0.001208
50,212.176,1.01209,1.02619,1.1898,0.81466,0.88869,0.89673,0.6456,0.9331,0.95894,1.13124,0.0011915,0.0011915,0.0011915
51,216.006,1.02528,0.98968,1.15201,0.81466,0.88869,0.89673,0.6456,0.9331,0.95894,1.13124,0.001175,0.001175,0.001175
52,219.876,1.0267,0.96383,1.13159,0.83168,0.88689,0.90942,0.66245,0.93076,0.86457,1.12712,0.0011585,0.0011585,0.0011585
53,225.378,1.02428,0.9617,1.1406,0.83168,0.88689,0.90942,0.66245,0.93076,0.86457,1.12712,0.001142,0.001142,0.001142
54,229.239,1.00109,0.979,1.13356,0.83168,0.88689,0.90942,0.66245,0.93076,0.86457,1.12712,0.0011255,0.0011255,0.0011255
55,233.102,1.02292,1.0196,1.12993,0.83906,0.90215,0.91241,0.6744,0.91145,0.84959,1.12692,0.001109,0.001109,0.001109
56,238.305,1.01422,0.94726,1.15077,0.83906,0.90215,0.91241,0.6744,0.91145,0.84959,1.12692,0.0010925,0.0010925,0.0010925
57,242.164,1.02244,0.94328,1.14795,0.83906,0.90215,0.91241,0.6744,0.91145,0.84959,1.12692,0.001076,0.001076,0.001076
58,245.996,0.94451,0.90521,1.12969,0.87496,0.89408,0.9235,0.68761,0.87263,0.82199,1.1155,0.0010595,0.0010595,0.0010595
59,250.724,0.97722,0.96735,1.12909,0.87496,0.89408,0.9235,0.68761,0.87263,0.82199,1.1155,0.001043,0.001043,0.001043
60,254.71,0.99599,0.91401,1.11318,0.87496,0.89408,0.9235,0.68761,0.87263,0.82199,1.1155,0.0010265,0.0010265,0.0010265
61,258.42,0.94762,0.9103,1.12407,0.88404,0.87971,0.92165,0.67687,0.89374,0.8263,1.12597,0.00101,0.00101,0.00101
62,262.407,0.94284,0.90879,1.111,0.88404,0.87971,0.92165,0.67687,0.89374,0.8263,1.12597,0.0009935,0.0009935,0.0009935
63,267.166,0.96631,0.907,1.12009,0.88404,0.87971,0.92165,0.67687,0.89374,0.8263,1.12597,0.000977,0.000977,0.000977
64,270.933,0.98779,0.94024,1.13148,0.86786,0.88689,0.92068,0.67752,0.88259,0.81906,1.11358,0.0009605,0.0009605,0.0009605
65,274.78,0.94533,0.87132,1.12498,0.86786,0.88689,0.92068,0.67752,0.88259,0.81906,1.11358,0.000944,0.000944,0.000944
66,279.928,0.93975,0.90096,1.1045,0.86786,0.88689,0.92068,0.67752,0.88259,0.81906,1.11358,0.0009275,0.0009275,0.0009275
67,283.699,0.91543,0.88168,1.11161,0.87229,0.88869,0.92286,0.69685,0.84306,0.80037,1.09776,0.000911,0.000911,0.000911
68,287.561,0.92989,0.89967,1.12277,0.87229,0.88869,0.92286,0.69685,0.84306,0.80037,1.09776,0.0008945,0.0008945,0.0008945
69,292.97,0.97529,0.88407,1.11094,0.87229,0.88869,0.92286,0.69685,0.84306,0.80037,1.09776,0.000878,0.000878,0.000878
70,296.898,0.95659,0.89841,1.11907,0.85974,0.89408,0.92272,0.6924,0.87815,0.79545,1.10713,0.0008615,0.0008615,0.0008615
71,300.621,0.9278,0.89854,1.09071,0.85974,0.89408,0.92272,0.6924,0.87815,0.79545,1.10713,0.000845,0.000845,0.000845
72,304.94,0.90022,0.87865,1.11423,0.85974,0.89408,0.92272,0.6924,0.87815,0.79545,1.10713,0.0008285,0.0008285,0.0008285
73,309.492,0.92719,0.83925,1.08988,0.87534,0.89497,0.92727,0.70107,0.83963,0.77447,1.09326,0.000812,0.000812,0.000812
74,313.337,0.96663,0.86954,1.10483,0.87534,0.89497,0.92727,0.70107,0.83963,0.77447,1.09326,0.0007955,0.0007955,0.0007955
75,317.248,0.93628,0.88317,1.10142,0.87534,0.89497,0.92727,0.70107,0.83963,0.77447,1.09326,0.000779,0.000779,0.000779
76,322.446,0.89623,0.84047,1.08228,0.87624,0.90305,0.9308,0.70985,0.81268,0.76535,1.08445,0.0007625,0.0007625,0.0007625
77,326.33,0.94026,0.88213,1.09616,0.87624,0.90305,0.9308,0.70985,0.81268,0.76535,1.08445,0.000746,0.000746,0.000746
78,330.085,0.88255,0.84491,1.08014,0.87624,0.90305,0.9308,0.70985,0.81268,0.76535,1.08445,0.0007295,0.0007295,0.0007295
79,335.359,0.90919,0.85134,1.10969,0.87624,0.90305,0.9308,0.70985,0.81268,0.76535,1.08445,0.000713,0.000713,0.000713
80,339.25,0.87843,0.80324,1.06707,0.88144,0.886,0.93134,0.71554,0.81365,0.7555,1.08327,0.0006965,0.0006965,0.0006965
81,343.078,0.87762,0.8585,1.08295,0.88144,0.886,0.93134,0.71554,0.81365,0.7555,1.08327,0.00068,0.00068,0.00068
